id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,it,route_dir,route_flag,route_sn,route_dist,route_code
8421,2022-08-02 14:36:02,2022-08-02 14:36:03,2022-08-02 14:36:02,2022-08-02 14:24:29,113.99153899999999,22.601627,16,0,66060.3,,2,1,1,291,202
8458,2022-08-02 14:35:50,2022-08-02 14:35:53,2022-08-02 14:35:50,2022-08-02 12:49:46,113.992668,22.603127999999998,19,243,66285.4,,1,1,5,302,202
18447,2022-08-02 14:32:40,2022-08-02 14:35:57,2022-08-02 14:35:54,2022-08-02 07:24:20,113.99738300000001,22.610666000000002,0,180,42281.6,,1,0,1,0,201
8330,2022-08-02 15:21:53,2022-08-02 15:23:38,2022-08-02 15:23:38,2022-08-02 15:21:53,113.996894,22.611139,0,0,70797.7,0.0,1,0,1,0,202
8371,2022-08-02 15:19:44,2022-08-02 15:23:47,2022-08-02 15:23:44,2022-08-02 13:47:56,113.991836,22.603256,0,313,74919.9,244.0,2,0,1,0,201
8411,2022-08-02 15:20:48,2022-08-02 15:23:47,2022-08-02 15:23:47,2022-08-02 15:20:48,113.99744399999999,22.61063,0,0,51380.0,0.0,1,0,1,533,201
8470,2022-08-02 15:23:38,2022-08-02 15:23:41,2022-08-02 15:23:38,2022-08-02 14:49:09,113.990905,22.59703,19,74,61942.2,0.0,2,1,3,157,201
18447,2022-08-02 15:23:44,2022-08-02 15:23:47,2022-08-02 15:23:44,2022-08-02 07:24:20,113.99510900000001,22.606315,15,254,42289.5,0.0,1,0,4,202,202
8267,2022-08-02 14:36:01,2022-08-02 14:36:07,2022-08-02 14:36:01,2022-08-02 13:27:52,113.996505,22.597167000000002,20,40,75420.0,,2,1,5,440,201
8330,2022-08-02 14:35:58,2022-08-02 14:36:02,2022-08-02 14:35:58,2022-08-02 11:58:18,113.991134,22.603494,24,263,70793.2,,1,1,13,158,201
8345,2022-08-02 14:36:02,2022-08-02 14:36:02,2022-08-02 14:36:02,2022-08-02 06:48:47,113.99859599999999,22.608613000000002,22,337,54602.3,,2,1,12,257,201
8371,2022-08-02 14:36:06,2022-08-02 14:36:09,2022-08-02 14:36:06,2022-08-02 13:47:56,113.995658,22.602918,25,88,74910.1,,1,0,6,215,201
8421,2022-08-02 14:36:04,2022-08-02 14:36:06,2022-08-02 14:36:04,2022-08-02 14:24:29,113.991577,22.601715,17,33,66060.3,,2,1,1,285,202
8458,2022-08-02 14:36:05,2022-08-02 14:36:08,2022-08-02 14:36:05,2022-08-02 12:49:46,113.99211100000001,22.602624,20,215,66285.5,,1,1,5,267,202
18447,2022-08-02 14:32:40,2022-08-02 14:35:57,2022-08-02 14:35:54,2022-08-02 07:24:20,113.99738300000001,22.610666000000002,0,180,42281.6,,1,0,1,0,201
8267,2022-08-02 14:56:30,2022-08-02 14:56:34,2022-08-02 14:56:30,2022-08-02 13:27:52,113.9916,22.601615,10,30,75424.0,,2,1,2,490,201
8330,2022-08-02 14:55:03,2022-08-02 14:56:32,2022-08-02 14:56:29,2022-08-02 11:58:18,113.996932,22.611143,0,318,70797.7,,1,0,1,0,202
8345,2022-08-02 14:55:51,2022-08-02 14:56:24,2022-08-02 14:56:21,2022-08-02 06:48:47,113.990623,22.603403,0,255,54607.1,,1,1,13,134,201
8371,2022-08-02 14:56:29,2022-08-02 14:56:33,2022-08-02 14:56:29,2022-08-02 13:47:56,113.99755,22.598382,24,36,74914.8,,2,1,5,276,201
18447,2022-08-02 14:56:29,2022-08-02 14:56:32,2022-08-02 14:56:29,2022-08-02 07:24:20,113.9971,22.603042000000002,23,70,42283.3,,1,0,7,173,201
8267,2022-08-02 14:56:35,2022-08-02 14:56:39,2022-08-02 14:56:35,2022-08-02 13:27:52,113.99171399999999,22.601817999999998,23,26,75424.0,,2,1,2,464,201
8345,2022-08-02 14:55:51,2022-08-02 14:56:39,2022-08-02 14:56:36,2022-08-02 06:48:47,113.99060800000001,22.603414,0,255,54607.1,,1,1,13,134,201
8371,2022-08-02 14:56:36,2022-08-02 14:56:40,2022-08-02 14:56:36,2022-08-02 13:47:56,113.997863,22.598745,24,41,74914.9,,2,1,5,224,201
18447,2022-08-02 14:56:29,2022-08-02 14:56:47,2022-08-02 14:56:43,2022-08-02 07:24:20,113.99760400000001,22.603206,0,79,42283.3,,1,0,7,182,201
8345,2022-08-02 15:17:16,2022-08-02 15:18:04,2022-08-02 15:18:02,2022-08-02 06:48:47,113.991752,22.603302,0,325,54612.0,0.0,2,1,12,1032,201
8371,2022-08-02 15:17:44,2022-08-02 15:18:02,2022-08-02 15:17:59,2022-08-02 13:47:56,113.99153100000001,22.599552,0,83,74919.4,0.0,2,0,1,521,202
8470,2022-08-02 15:16:14,2022-08-02 15:18:00,2022-08-02 15:17:58,2022-08-02 14:49:09,113.99066100000002,22.603460000000002,0,253,61941.2,0.0,1,0,14,139,201
18447,2022-08-02 15:17:31,2022-08-02 15:18:05,2022-08-02 15:18:02,2022-08-02 07:24:20,113.99751200000001,22.610560999999997,0,57,42288.5,0.0,1,0,1,518,202
